#,Product Name,Category,Unit
1,Peta,In Display/Itens em Exposição,
2,Rosca Caseira Frita,In Display/Itens em Exposição,
3,Rosca Trançada de Coco,In Display/Itens em Exposição,
4,Rosca Caracol com Coco,In Display/Itens em Exposição,
5,Rosca Caracol  com Crème,In Display/Itens em Exposição,
6,Rosca de Leite Conden com Coco,In Display/Itens em Exposição,
7,Rosca Goiana,In Display/Itens em Exposição,
8,Língua de Sogra,In Display/Itens em Exposição,
9,Marta Rocha,In Display/Itens em Exposição,
10,Pão com Queijo,In Display/Itens em Exposição,
11,Pão com Presunto e Queijo,In Display/Itens em Exposição,
12,Pão de Batata,In Display/Itens em Exposição,
13,Enroladinho de Queijo,In Display/Itens em Exposição,
14,Pão com Goiabada e Queijo,In Display/Itens em Exposição,
15,Bolo (Balcão),In Display/Itens em Exposição,
16,Broa (Balcão),In Display/Itens em Exposição,
17,Samantilha,In Display/Itens em Exposição,
18,Broa de Sal,In Display/Itens em Exposição,
19,Broa de Doce,In Display/Itens em Exposição,
20,Bolinho de Chuva,In Display/Itens em Exposição,
21,Sonho,In Display/Itens em Exposição,
22,Pão de Hambúrguer ,In Display/Itens em Exposição,
23,Pão de Queijo Recheado,In Display/Itens em Exposição,
24,Pão de Queijo ,In Display/Itens em Exposição,
25,Pão de Sal,In Display/Itens em Exposição,
26,Ferradura,In Display/Itens em Exposição,
27,Biscoito Frito,In Display/Itens em Exposição,
28,Pão de Ló,In Display/Itens em Exposição,
29,Pão de Mel,In Display/Itens em Exposição,
30,Folhado Nutella e Morango,In Display/Itens em Exposição,
31,Folhado Crème e Nutella,In Display/Itens em Exposição,
32,Folhado Romeu e Julieta,In Display/Itens em Exposição,
33,Croissant de Frango,In Display/Itens em Exposição,
34,Croissant Queijo e Azeitona,In Display/Itens em Exposição,
35,Croissant de Carne Moida,In Display/Itens em Exposição,
36,Croissant Natural,In Display/Itens em Exposição,
37,Bolo de Abacaxi ,Packaged/Embalado,
38,Bolo de  Laranja ,Packaged/Embalado,
39,Bolo de Coco ,Packaged/Embalado,
40,Bolo de Mandioca ,Packaged/Embalado,
41,Bolo de Fubá ,Packaged/Embalado,
42,Bolo de Ninho ,Packaged/Embalado,
43,Bolo Mesclado,Packaged/Embalado,
44,Bolo de Trigo ,Packaged/Embalado,
45,Bolo Furmiqueiro ,Packaged/Embalado,
46,Mini Bolo de Banana ,Packaged/Embalado,
47,Mini Bolo de Brigadeiro ,Packaged/Embalado,
48,Mini Bolo de Cenoura ,Packaged/Embalado,
49,Mini Bolo de Ninho,Packaged/Embalado,
50,Mini Bolo de Quebra Queixo,Packaged/Embalado,
51,Mini Bolo de Caçarola,Packaged/Embalado,
52,Mini Bolo de Pé de Moleque,Packaged/Embalado,
53,Biscoito de Polvilho,Packaged/Embalado,
54,Biscoito de Goiabada,Packaged/Embalado,
55,Biscoito de Coco com Gotas,Packaged/Embalado,
56,Biscoito de Coco,Packaged/Embalado,
57,Casadinho,Packaged/Embalado,
58,Pão Caseiro,Packaged/Embalado,
59,Pão de Cebola,Packaged/Embalado,
60,Pão Doce com Açúcar,Packaged/Embalado,
61,Pão Doce Açúcar e Canela ,Packaged/Embalado,
62,Pão Doce com Creme e Açúcar,Packaged/Embalado,
63,Pão Doce com Creme,Packaged/Embalado,
64,Pão Doce com Coco Queimado,Packaged/Embalado,
65,Pão Doce Caracol com Creme e Cereja,Packaged/Embalado,
66,Pão Doce com Goiabada e Creme,Packaged/Embalado,
67,Pão Doce com Chocolate,Packaged/Embalado,
68,Pão Sovado,Packaged/Embalado,
69,Pão Tatuzinho,Packaged/Embalado,
70,Pão de Cachorro Quente ,Packaged/Embalado,
71,Rosca Rainha,Packaged/Embalado,
72,Rosca Rei,Packaged/Embalado,
73,Rosca Rei com Gotas,Packaged/Embalado,
74,Rosca de Batata,Packaged/Embalado,
75,Rosca com Gotas de Chocolate,Packaged/Embalado,
76,Rosca Padokka,Packaged/Embalado,
77,Rosca de Creme e Queijo,Packaged/Embalado,
78,Rosca de Doce de Leite com Coco,Packaged/Embalado,
79,Rosca de Goiabada e Coco,Packaged/Embalado,
80,Rosca com Crème e Coco,Packaged/Embalado,
81,Rosca com Crème,Packaged/Embalado,
82,Pudim,Refrigerated/Refrigerado,
83,Mousse Morango,Refrigerated/Refrigerado,
84,Mousse Maracujá,Refrigerated/Refrigerado,
85,Bolo no Pote,Refrigerated/Refrigerado,
86,Bolo Confeitado,Refrigerated/Refrigerado,
87,Mini Bolo Confeitado,Refrigerated/Refrigerado,
88,Rocambole,Refrigerated/Refrigerado,
89,Brigadeiro,Refrigerated/Refrigerado,
90,Beijinho,Refrigerated/Refrigerado,
91,Bom Bom de Limao,Refrigerated/Refrigerado,
92,Pe de Moleque,Refrigerated/Refrigerado,
93,Cocada,Refrigerated/Refrigerado,
94,Bolodim,Refrigerated/Refrigerado,
95,Torta de Frango,Refrigerated/Refrigerado,
96,Sanduíche Natural,Refrigerated/Refrigerado,
97,Copo Napolitano,Refrigerated/Refrigerado,
98,Caçarola Italiana,Refrigerated/Refrigerado,
99,Caçarola Ninho,Refrigerated/Refrigerado,
100,Caçarola Padaria,Refrigerated/Refrigerado,
101,Caçarola Coco e Queijo,Refrigerated/Refrigerado,
102,Coxinha,Savory Snacks/Salgados,
103,Coxinha com Catupiry,Savory Snacks/Salgados,
104,Risole,Savory Snacks/Salgados,
105,Kibe,Savory Snacks/Salgados,
106,Empadinha,Savory Snacks/Salgados,
107,Esfirra de Frango,Savory Snacks/Salgados,
108,Esfirra de Carne,Savory Snacks/Salgados,
109,Mini Pizza de Frango com Catupiry,Savory Snacks/Salgados,
110,Mini Pizza de Queijo,Savory Snacks/Salgados,
111,Mini Pizza de Hamburger,Savory Snacks/Salgados,
112,Mini Pizza Presunto e Queijo,Savory Snacks/Salgados,
113,Pastel Assado de Frango,Savory Snacks/Salgados,
114,Bolinho de Mandioca,Savory Snacks/Salgados,
115,Enroladinho de Salsicha,Savory Snacks/Salgados,
116,Cachorro Quente Assado,Savory Snacks/Salgados,
117,Espetinho de Frango,Savory Snacks/Salgados,
118,Massa de Pastel,Savory Snacks/Salgados,
119,Massa de Mini Pastel,Savory Snacks/Salgados,
120,Croquete de Presunto e Queijo,Savory Snacks/Salgados,
121,Mini Pastel,Savory Snacks/Salgados,
122,Pastel Padokkinha,Savory Snacks/Salgados,
123,Hamburgão,Savory Snacks/Salgados,
124,Pão de Pizza,Savory Snacks/Salgados,
125,Mini Pão de Pizza,Savory Snacks/Salgados,
126,Mini Coxinha,Savory Snacks/Salgados,
127,Mini Risole,Savory Snacks/Salgados,
128,Mini Bolinha de Queijo,Savory Snacks/Salgados,
129,Mini Kibe,Savory Snacks/Salgados,
